system;threshold;nAuthorsHit;doaAuthorHit;commitAuthorHit;blameAuthorHit;nNotAuthorsHit;doaNotAuthorHit;commitNotAuthorHit;blameNotAuthorHit;firstDevHit;lastDevHit;allHits;allHitsDoa;allHitsCommits;allHitsBlame
puppet;0,6;27;21;16;11;47;11;29;25;11;14;74;32;45;36
puppet;0,7;27;17;15;11;47;17;30;28;11;14;74;34;45;39
puppet;0,8;27;14;15;10;47;29;30;28;11;14;74;43;45;38
puppet;0,9;27;11;15;10;47;36;31;28;11;14;74;47;46;38
puppet;1;27;11;15;10;47;38;31;31;11;14;74;49;46;41
moment/moment;0;2;2;2;2;7;0;0;1;1;1;9;2;2;3
moment/moment;0,1;2;2;2;1;7;1;2;4;1;1;9;3;4;5
moment/moment;0,2;2;2;2;1;7;1;4;4;1;1;9;3;6;5
moment/moment;0,3;2;2;1;1;7;1;5;4;1;1;9;3;6;5
moment/moment;0,4;2;2;1;1;7;3;5;5;1;1;9;5;6;6
moment/moment;0,5;2;2;1;1;7;3;6;6;1;1;9;5;7;7
moment/moment;0,6;2;2;1;1;7;3;7;6;1;1;9;5;8;7
moment/moment;0,7;2;1;1;1;7;4;7;7;1;1;9;5;8;8
moment/moment;0,8;2;1;1;1;7;7;7;7;1;1;9;8;8;8
moment/moment;0,9;2;1;1;1;7;7;7;7;1;1;9;8;8;8
moment/moment;1;2;1;1;1;7;7;7;7;1;1;9;8;8;8
monolog;0;3;3;3;3;11;0;0;4;1;0;14;3;3;7
monolog;0,1;3;3;2;2;11;0;7;6;1;0;14;3;9;8
monolog;0,2;3;3;1;2;11;0;10;9;1;0;14;3;11;11
monolog;0,3;3;3;1;2;11;0;11;9;1;0;14;3;12;11
monolog;0,4;3;2;1;1;11;3;11;9;1;0;14;5;12;10
monolog;0,5;3;2;1;1;11;7;11;11;1;0;14;9;12;12
monolog;0,6;3;1;1;1;11;10;11;11;1;0;14;11;12;12
monolog;0,7;3;1;1;1;11;11;11;11;1;0;14;12;12;12
monolog;0,8;3;1;1;1;11;11;11;11;1;0;14;12;12;12
monolog;0,9;3;1;0;1;11;11;11;11;1;0;14;12;11;12
monolog;1;3;1;0;1;11;11;11;11;1;0;14;12;11;12
salt;0;28;28;28;22;35;0;0;12;13;13;63;28;28;34
salt;0,1;28;28;26;16;35;1;4;29;13;13;63;29;30;45
salt;0,2;28;25;25;12;35;1;15;33;13;13;63;26;40;45
salt;0,3;28;24;23;11;35;4;22;33;13;13;63;28;45;44
salt;0,4;28;24;22;11;35;4;23;33;13;13;63;28;45;44
salt;0,5;28;24;22;9;35;4;23;33;13;13;63;28;45;42
salt;0,6;28;24;20;9;35;9;29;33;13;13;63;33;49;42
salt;0,7;28;22;18;9;35;21;29;33;13;13;63;43;47;42
salt;0,8;28;20;18;9;35;27;29;33;13;13;63;47;47;42
salt;0,9;28;15;18;9;35;32;29;33;13;13;63;47;47;42
salt;1;28;15;18;9;35;32;29;33;13;13;63;47;47;42
django;0;13;13;13;11;14;0;0;4;2;4;27;13;13;15
django;0,1;13;13;12;8;14;0;8;12;2;4;27;13;20;20
django;0,2;13;13;11;5;14;2;11;12;2;4;27;15;22;17
django;0,3;13;13;10;4;14;2;12;12;2;4;27;15;22;16
django;0,4;13;13;10;4;14;5;12;12;2;4;27;18;22;16
django;0,5;13;12;10;3;14;8;12;12;2;4;27;20;22;15
django;0,6;13;12;10;3;14;9;12;12;2;4;27;21;22;15
django;0,7;13;10;10;3;14;11;12;12;2;4;27;21;22;15
django;0,8;13;8;10;3;14;12;12;12;2;4;27;20;22;15
django;0,9;13;2;10;2;14;13;12;12;2;4;27;15;22;14
django;1;13;2;10;2;14;13;12;12;2;4;27;15;22;14
Faker;0;23;23;23;13;9;0;0;2;8;10;32;23;23;15
Faker;0,1;23;23;23;11;9;0;0;3;8;10;32;23;23;14
Faker;0,2;23;23;21;9;9;0;0;4;8;10;32;23;21;13
Faker;0,3;23;23;17;9;9;0;0;4;8;10;32;23;17;13
Faker;0,4;23;23;16;9;9;0;0;4;8;10;32;23;16;13
Faker;0,5;23;23;16;9;9;0;0;4;8;10;32;23;16;13
Faker;0,6;23;20;13;9;9;0;1;4;8;10;32;20;14;13
Faker;0,7;23;16;13;8;9;0;1;4;8;10;32;16;14;12
Faker;0,8;23;12;13;7;9;3;1;4;8;10;32;15;14;11
Faker;0,9;23;10;13;7;9;4;1;5;8;10;32;14;14;12
Faker;1;23;9;13;7;9;4;1;5;8;10;32;13;14;12
ember.js;0;8;8;8;7;8;0;0;2;5;3;16;8;8;9
ember.js;0,1;8;8;8;7;8;0;0;5;5;3;16;8;8;12
ember.js;0,2;8;8;8;7;8;0;4;6;5;3;16;8;12;13
ember.js;0,3;8;8;7;6;8;0;4;8;5;3;16;8;11;14
ember.js;0,4;8;8;6;5;8;0;6;8;5;3;16;8;12;13
ember.js;0,5;8;8;6;5;8;0;6;8;5;3;16;8;12;13
ember.js;0,6;8;8;3;5;8;2;7;8;5;3;16;10;10;13
ember.js;0,7;8;7;3;5;8;6;7;8;5;3;16;13;10;13
ember.js;0,8;8;6;3;5;8;8;7;8;5;3;16;14;10;13
ember.js;0,9;8;5;3;5;8;8;7;8;5;3;16;13;10;13
ember.js;1;8;5;3;4;8;8;7;8;5;3;16;13;10;12
fog;0;11;11;11;11;6;0;0;3;0;0;17;11;11;14
fog;0,1;11;11;9;7;6;0;0;6;0;0;17;11;9;13
fog;0,2;11;11;5;7;6;0;2;6;0;0;17;11;7;13
fog;0,3;11;11;2;7;6;0;3;6;0;0;17;11;5;13
fog;0,4;11;11;0;7;6;0;3;6;0;0;17;11;3;13
fog;0,5;11;11;0;7;6;0;3;6;0;0;17;11;3;13
fog;0,6;11;8;0;7;6;0;4;6;0;0;17;8;4;13
fog;0,7;11;4;0;6;6;2;4;6;0;0;17;6;4;12
fog;0,8;11;0;0;6;6;3;4;6;0;0;17;3;4;12
fog;0,9;11;0;0;4;6;3;4;6;0;0;17;3;4;10
fog;1;11;0;0;4;6;4;4;6;0;0;17;4;4;10
All OSS;0;115;115;115;92;137;0;0;33;41;45;252;115;115;125
All OSS;0,1;115;115;107;71;137;3;26;79;41;45;252;118;133;150
All OSS;0,2;115;112;97;60;137;8;55;90;41;45;252;120;152;150
All OSS;0,3;115;109;80;56;137;13;71;99;41;45;252;122;151;155
All OSS;0,4;115;108;75;53;137;21;80;100;41;45;252;129;155;153
All OSS;0,5;115;106;73;48;137;29;82;104;41;45;252;135;155;152
All OSS;0,6;115;96;64;46;137;44;100;105;41;45;252;140;164;151
All OSS;0,7;115;78;61;44;137;72;101;109;41;45;252;150;162;153
All OSS;0,8;115;62;61;42;137;100;101;109;41;45;252;162;162;151
All OSS;0,9;115;45;60;39;137;114;102;110;41;45;252;159;162;149
All OSS;1;115;44;60;38;137;117;102;113;41;45;252;161;162;151
