"";"systemsGroup";"system";"file";"devId";"dev_answer";"doa";"commit";"blame";"doaValue";"commitValue";"blameValue";"isFA";"DE";"AC";"nCommits";"LOC";"daysLastCommit";"nComAfter";"commitsPerc"
"225";"Commercial";"commercial#1";"hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/withdraw/service/TransactionManagerService.java";"dev-5456";2;"miss";"miss";"miss";"0,69358";"0,5";"0,11364";FALSE;2;7;9;38;14;0;20
"226";"Commercial";"commercial#1";"hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/withdraw/service/TransactionManagerService.java";"dev-5449";1;"miss";"miss";"miss";"1";"1";"1";TRUE;3;6;9;38;141;6;40
"227";"Commercial";"commercial#1";"hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/withdraw/service/TransactionManagerService.java";"dev-5459";2;"miss";"miss";"miss";"0,79229";"1";"0,18182";FALSE;4;5;9;38;126;2;40
"228";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/product/upload/ProductSalesPageBackgroundBuilder.java";"dev-5454";5;"hit";"hit";"hit";"1";"1";"1";TRUE;2;3;5;24;140;2;50
"229";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/product/upload/ProductSalesPageBackgroundBuilder.java";"dev-5446";1;"miss";"miss";"miss";"0,7431";"0,66667";"0,11111";FALSE;2;3;5;24;139;1;33,3333333333333
"230";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/product/upload/ProductSalesPageBackgroundBuilder.java";"dev-5451";2;"miss";"miss";"hit";"0,68797";"0,33333";"0,03704";FALSE;1;4;5;24;34;0;16,6666666666667
"231";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/photo/service/PhotoService.java";"dev-5454";5;"hit";"hit";"hit";"1";"1";"1";TRUE;6;1;7;9;124;0;77,7777777777778
"232";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/photo/service/PhotoService.java";"dev-5451";2;"hit";"hit";"miss";"0,54971";"0,14286";"0,125";FALSE;1;6;7;9;125;1;11,1111111111111
"233";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/subcategory/service/impl/SubcategoryServiceImpl.java";"dev-5449";5;"hit";"hit";"miss";"0,64619";"0,25";"0,05263";FALSE;1;8;9;25;299;6;10
"234";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/subcategory/service/impl/SubcategoryServiceImpl.java";"dev-5454";5;"hit";"hit";"hit";"1";"1";"1";TRUE;3;6;9;25;26;0;40
"235";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/subcategory/service/impl/SubcategoryServiceImpl.java";"dev-5446";3;"miss";"miss";"miss";"0,69358";"0,5";"0,68421";FALSE;2;7;9;25;68;3;20
"236";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/subcategory/service/impl/SubcategoryServiceImpl.java";"dev-5457";1;"miss";"miss";"hit";"0,64619";"0,25";"0,05263";FALSE;1;8;9;25;124;4;10
"237";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/subcategory/service/impl/SubcategoryServiceImpl.java";"dev-5451";2;"miss";"miss";"hit";"0,69358";"0,5";"0";FALSE;2;7;9;25;27;1;20
"238";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/AddressController.java";"dev-5449";5;"hit";"hit";"hit";"0,99609";"0,5";"0,31818";TRUE;4;17;21;84;5;1;22,7272727272727
"239";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/AddressController.java";"dev-5451";5;"hit";"hit";"hit";"1";"1";"1";FALSE;10;11;21;84;0;0;45,4545454545455
"240";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/AddressController.java";"dev-5446";3;"miss";"miss";"hit";"0,77467";"0,5";"0,07576";FALSE;5;16;21;84;146;10;22,7272727272727
"241";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/AddressController.java";"dev-5459";3;"miss";"miss";"miss";"0,64308";"0,2";"0,10606";FALSE;2;19;21;84;18;5;9,09090909090909
"242";"Commercial";"commercial#1";"hot-listboss-ejb/src/main/java/com/hotmart/listboss/provider/impl/EGoiClient.java";"dev-5454";5;"hit";"hit";"hit";"1";"1";"1";TRUE;4;3;7;153;140;2;62,5
"243";"Commercial";"commercial#1";"hot-listboss-ejb/src/main/java/com/hotmart/listboss/provider/impl/EGoiClient.java";"dev-5449";3;"miss";"miss";"hit";"0,61546";"0,2";"0,00503";FALSE;1;6;7;153;138;0;12,5
"244";"Commercial";"commercial#1";"hot-listboss-ejb/src/main/java/com/hotmart/listboss/provider/impl/EGoiClient.java";"dev-5446";1;"miss";"miss";"hit";"0,66185";"0,4";"0";FALSE;2;5;7;153;139;1;25
"245";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/ReceiptController.java";"dev-5449";5;"hit";"hit";"hit";"0,83741";"0,27273";"0,23214";TRUE;2;12;14;127;265;12;20
"246";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/ReceiptController.java";"dev-5451";4;"hit";"hit";"hit";"1";"1";"1";FALSE;11;3;14;127;96;0;73,3333333333333
"247";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/ReceiptController.java";"dev-5446";1;"hit";"hit";"hit";"0,56102";"0,09091";"0,00893";FALSE;1;13;14;127;183;10;6,66666666666667
"248";"Commercial";"commercial#1";"hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/userprofile/service/impl/AddressServiceImpl.java";"dev-5459";4;"hit";"hit";"hit";"0,76314";"0,6";"0,12281";FALSE;3;13;16;71;16;2;17,6470588235294
"249";"Commercial";"commercial#1";"hot-affiliation-ejb/src/main/java/com/hotmart/marketplace/affiliation/service/impl/AffiliationServiceImpl.java";"dev-5448";1;"hit";"hit";"hit";"0,20057";"0,02128";"0";FALSE;1;114;115;599;61;8;0,862068965517241
"250";"Commercial";"commercial#1";"hot-affiliation-ejb/src/main/java/com/hotmart/marketplace/affiliation/service/impl/AffiliationServiceImpl.java";"dev-5457";1;"hit";"hit";"hit";"0,21787";"0,04255";"0,00354";FALSE;2;113;115;599;106;33;1,72413793103448
"251";"Commercial";"commercial#1";"hot-affiliation-ejb/src/main/java/com/hotmart/marketplace/affiliation/service/impl/AffiliationServiceImpl.java";"dev-5459";3;"hit";"hit";"miss";"0,25248";"0,08511";"1";FALSE;4;111;115;599;32;5;3,44827586206897
"252";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/FinancialController.java";"dev-5449";5;"miss";"miss";"miss";"0,27426";"0,08333";"0,0393";FALSE;3;52;55;226;181;27;5,35714285714286
"253";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/FinancialController.java";"dev-5446";1;"hit";"hit";"hit";"0,27426";"0,08333";"0,00437";FALSE;3;52;55;226;139;17;5,35714285714286
"254";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/FinancialController.java";"dev-5457";1;"hit";"hit";"hit";"0,34868";"0,19444";"0,01747";FALSE;7;48;55;226;36;0;12,5
"255";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/FinancialController.java";"dev-5451";3;"miss";"miss";"miss";"1";"1";"1";TRUE;35;20;55;226;63;7;64,2857142857143
"256";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/FinancialController.java";"dev-5459";2;"hit";"hit";"hit";"0,33006";"0,16667";"0,0786";FALSE;6;49;55;226;36;6;10,7142857142857
"257";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/FinancialController.java";"dev-5454";3;"hit";"hit";"hit";"0,23713";"0,02778";"0";FALSE;1;54;55;226;140;18;1,78571428571429
"258";"Commercial";"commercial#1";"hot-product-ejb/src/test/java/com/hotmart/marketplace/product/payment/ProductPaymentTest.java";"dev-5454";5;"hit";"hit";"hit";"1";"1";"1";TRUE;2;1;3;98;12;1;80
"259";"Commercial";"commercial#1";"hot-product-ejb/src/test/java/com/hotmart/marketplace/product/payment/ProductPaymentTest.java";"dev-5459";3;"miss";"miss";"hit";"0,69039";"0,25";"0,01613";FALSE;1;2;3;98;0;0;20
"260";"Commercial";"commercial#1";"hot-product-web/src/test/java/com/hotmart/marketplace/rest/LotSerialControllerIntegrationTest.java";"dev-5454";5;"hit";"hit";"miss";"1";"1";"0,04167";FALSE;5;0;5;192;41;0;83,3333333333333
"261";"Commercial";"commercial#1";"hot-eticket-web/src/main/java/com/hotmart/marketplace/rest/TicketInviteController.java";"dev-5450";5;"miss";"miss";"miss";"0,55566";"0,1";"0";FALSE;1;17;18;139;15;2;5,26315789473684
"262";"Commercial";"commercial#1";"hot-eticket-web/src/main/java/com/hotmart/marketplace/rest/TicketInviteController.java";"dev-5459";3;"hit";"hit";"hit";"0,55566";"0,1";"0,0099";FALSE;1;17;18;139;152;10;5,26315789473684
"263";"Commercial";"commercial#1";"hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RestMethods.java";"dev-5456";5;"miss";"miss";"hit";"0,49988";"0,125";"0,16667";FALSE;2;40;42;68;40;5;4,65116279069767
"264";"Commercial";"commercial#1";"hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RestMethods.java";"dev-5449";5;"miss";"miss";"hit";"0,49988";"0,125";"0,13333";FALSE;2;40;42;68;125;19;4,65116279069767
"265";"Commercial";"commercial#1";"hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RestMethods.java";"dev-5446";5;"hit";"miss";"hit";"0,69051";"0,125";"0,2";TRUE;1;41;42;68;243;41;4,65116279069767
"266";"Commercial";"commercial#1";"hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RestMethods.java";"dev-5451";5;"hit";"hit";"hit";"1";"1";"1";FALSE;16;26;42;68;97;16;37,2093023255814
"267";"Commercial";"commercial#1";"hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RestMethods.java";"dev-5459";5;"hit";"hit";"miss";"0,74851";"0,5625";"0,03333";FALSE;9;33;42;68;84;11;20,9302325581395
"268";"Commercial";"commercial#1";"hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RestMethods.java";"dev-5454";4;"miss";"miss";"miss";"0,49988";"0,125";"0,03333";FALSE;2;40;42;68;46;8;4,65116279069767
"269";"Commercial";"commercial#1";"hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RestMethods.java";"dev-5455";3;"hit";"hit";"miss";"0,49988";"0,125";"0,63333";FALSE;2;40;42;68;43;7;4,65116279069767
"270";"Commercial";"commercial#1";"hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RestMethods.java";"dev-5458";2;"hit";"hit";"hit";"0,46454";"0,0625";"0,06667";FALSE;1;41;42;68;153;23;2,32558139534884
"271";"Commercial";"commercial#1";"hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RestMethods.java";"dev-5457";3;"hit";"hit";"miss";"0,53526";"0,1875";"0,36667";FALSE;3;39;42;68;35;4;6,97674418604651
"272";"Commercial";"commercial#1";"hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RestMethods.java";"dev-5453";2;"hit";"hit";"hit";"0,49988";"0,125";"0,06667";FALSE;2;40;42;68;12;0;4,65116279069767
"273";"Commercial";"commercial#1";"hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RestMethods.java";"dev-5461";3;"hit";"hit";"miss";"0,49988";"0,125";"0,2";FALSE;2;40;42;68;20;2;4,65116279069767
"274";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/product/service/impl/ProductServiceImpl.java";"dev-5459";4;"miss";"miss";"miss";"0,05978";"0,04098";"0,0084";FALSE;15;525;540;1204;32;28;2,76752767527675
"275";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/product/service/impl/ProductServiceImpl.java";"dev-5457";3;"hit";"hit";"hit";"0,02559";"0,00546";"0,00588";FALSE;2;538;540;1204;123;100;0,3690036900369
"276";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/product/service/impl/ProductServiceImpl.java";"dev-5460";3;"hit";"hit";"hit";"0,02296";"0,00273";"0,00084";FALSE;1;539;540;1204;18;9;0,18450184501845
"277";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/product/service/impl/ProductServiceImpl.java";"dev-5453";2;"hit";"hit";"hit";"0,02296";"0,00273";"0,00084";FALSE;1;539;540;1204;49;57;0,18450184501845
"278";"Commercial";"commercial#1";"hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/PurchaseController.java";"dev-5456";4;"miss";"miss";"miss";"0,27334";"0,05405";"0,04167";FALSE;2;74;76;164;40;7;2,5974025974026
"279";"Commercial";"commercial#1";"hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/PurchaseController.java";"dev-5457";5;"miss";"hit";"hit";"0,41758";"0,24324";"0,10417";FALSE;9;67;76;164;35;4;11,6883116883117
"280";"Commercial";"commercial#1";"hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/PurchaseController.java";"dev-5455";2;"hit";"hit";"hit";"0,29393";"0,08108";"0,02083";FALSE;3;73;76;164;43;10;3,8961038961039
"281";"Commercial";"commercial#1";"hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/PurchaseController.java";"dev-5459";3;"hit";"miss";"miss";"0,45887";"0,2973";"0,5";FALSE;11;65;76;164;21;2;14,2857142857143
"282";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/lotserial/service/LotSerialService.java";"dev-5459";3;"hit";"hit";"hit";"0,46833";"0,09091";"0,03125";FALSE;1;11;12;18;173;3;7,69230769230769
"283";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/UserProfileController.java";"dev-5449";5;"hit";"hit";"hit";"0,88332";"0,65517";"0,16923";TRUE;18;37;55;273;194;20;33,9285714285714
"284";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/UserProfileController.java";"dev-5451";4;"hit";"hit";"hit";"1";"1";"1";FALSE;29;26;55;273;64;0;51,7857142857143
"285";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/UserProfileController.java";"dev-5446";3;"hit";"miss";"hit";"0,45655";"0,24138";"0,03462";FALSE;7;48;55;273;139;7;12,5
"286";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/UserProfileController.java";"dev-5454";3;"hit";"hit";"hit";"0,31049";"0,03448";"0";FALSE;1;54;55;273;140;8;1,78571428571429
"287";"Commercial";"commercial#1";"hot-listboss-web/src/main/java/com/hotmart/listboss/rest/ListBossController.java";"dev-5459";4;"miss";"miss";"miss";"0,24762";"0,08889";"0,07955";FALSE;4;58;62;285;152;17;6,25
"288";"Commercial";"commercial#1";"hot-listboss-web/src/main/java/com/hotmart/listboss/rest/ListBossController.java";"dev-5454";5;"hit";"hit";"hit";"1";"1";"0,74432";TRUE;44;18;62;285;78;1;70,3125
"289";"Commercial";"commercial#1";"hot-listboss-web/src/main/java/com/hotmart/listboss/rest/ListBossController.java";"dev-5449";1;"hit";"hit";"hit";"0,26352";"0,11111";"0,00568";FALSE;5;57;62;285;63;0;7,8125
"290";"Commercial";"commercial#1";"hot-listboss-web/src/main/java/com/hotmart/listboss/rest/ListBossController.java";"dev-5446";1;"hit";"hit";"hit";"0,24762";"0,08889";"0";FALSE;4;58;62;285;139;13;6,25
"291";"Commercial";"commercial#1";"hot-listboss-web/src/main/java/com/hotmart/listboss/rest/ListBossController.java";"dev-5451";2;"hit";"hit";"miss";"0,26352";"0,11111";"1";FALSE;5;57;62;285;78;2;7,8125
"292";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/LanguageController.java";"dev-5449";5;"hit";"hit";"hit";"1";"0,83333";"1";TRUE;4;7;11;24;5;1;41,6666666666667
"293";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/LanguageController.java";"dev-5446";1;"miss";"hit";"hit";"0,6136";"0,16667";"0,05";FALSE;1;10;11;24;183;6;8,33333333333333
"294";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/LanguageController.java";"dev-5451";3;"miss";"miss";"miss";"0,84527";"1";"0,55";FALSE;6;5;11;24;0;0;50
"295";"Commercial";"commercial#1";"hot-eticket-ejb/src/main/java/com/hotmart/marketplace/eticket/service/impl/TicketInviteServiceImpl.java";"dev-5450";5;"miss";"miss";"miss";"0,49165";"0,1";"0";FALSE;1;20;21;165;15;2;4,54545454545455
"296";"Commercial";"commercial#1";"hot-eticket-ejb/src/main/java/com/hotmart/marketplace/eticket/service/impl/TicketInviteServiceImpl.java";"dev-5460";2;"hit";"hit";"hit";"0,49165";"0,1";"0,02752";FALSE;1;20;21;165;18;3;4,54545454545455
"297";"Commercial";"commercial#1";"hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/generic/product/GenericProductPurchaseNotifier.java";"dev-5449";3;"miss";"miss";"hit";"0,62662";"0,33333";"0,07143";FALSE;2;11;13;75;133;3;12,5
"298";"Commercial";"commercial#1";"hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/generic/product/GenericProductPurchaseNotifier.java";"dev-5446";1;"miss";"miss";"miss";"1";"1";"0,25714";TRUE;5;8;13;75;139;4;37,5
"299";"Commercial";"commercial#1";"hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/generic/product/GenericProductPurchaseNotifier.java";"dev-5457";1;"hit";"hit";"hit";"0,58452";"0,16667";"0";FALSE;1;12;13;75;124;2;6,25
"300";"Commercial";"commercial#1";"hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/generic/product/GenericProductPurchaseNotifier.java";"dev-5451";2;"miss";"miss";"miss";"0,7124";"0,66667";"1";FALSE;4;9;13;75;34;0;25
"301";"Commercial";"commercial#1";"hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/generic/product/GenericProductPurchaseNotifier.java";"dev-5454";3;"hit";"hit";"hit";"0,58452";"0,16667";"0";FALSE;1;12;13;75;140;5;6,25
"302";"Commercial";"commercial#1";"hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/withdraw/service/impl/WithdrawServiceImpl.java";"dev-5449";5;"hit";"hit";"miss";"0,75249";"0,55";"0,0988";TRUE;21;54;75;594;48;10;28,9473684210526
"303";"Commercial";"commercial#1";"hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/withdraw/service/impl/WithdrawServiceImpl.java";"dev-5451";4;"miss";"miss";"miss";"0,33475";"0,15";"0,00599";FALSE;6;69;75;594;14;3;7,89473684210526
"304";"Commercial";"commercial#1";"hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/withdraw/service/impl/WithdrawServiceImpl.java";"dev-5459";5;"hit";"hit";"hit";"1";"1";"1";FALSE;40;35;75;594;0;0;52,6315789473684
"305";"Commercial";"commercial#1";"hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/withdraw/service/impl/WithdrawServiceImpl.java";"dev-5446";2;"hit";"hit";"hit";"0,25732";"0,05";"0,0015";FALSE;2;73;75;594;139;45;2,63157894736842
"306";"Commercial";"commercial#1";"hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/withdraw/service/impl/WithdrawServiceImpl.java";"dev-5454";3;"hit";"hit";"hit";"0,33475";"0,15";"0,00449";FALSE;6;69;75;594;48;11;7,89473684210526
"307";"Commercial";"commercial#1";"hot-eticket-ejb/src/main/java/com/hotmart/marketplace/eticket/vo/request/MigrateEticketRequestVO.java";"dev-5446";1;"miss";"miss";"miss";"1";"1";"0,4";TRUE;1;2;3;14;218;2;40
"308";"Commercial";"commercial#1";"hot-eticket-ejb/src/main/java/com/hotmart/marketplace/eticket/vo/request/MigrateEticketRequestVO.java";"dev-5451";3;"miss";"miss";"miss";"0,80871";"1";"1";FALSE;2;1;3;14;78;0;40
"309";"Commercial";"commercial#1";"hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/userprofile/service/impl/KajabiProfileServiceImpl.java";"dev-5449";5;"hit";"hit";"hit";"0,74512";"0,75";"1";FALSE;3;5;8;191;106;1;33,3333333333333
"310";"Commercial";"commercial#1";"hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/userprofile/service/impl/KajabiProfileServiceImpl.java";"dev-5446";1;"miss";"miss";"hit";"0,64754";"0,25";"0,00518";FALSE;1;7;8;191;7;0;11,1111111111111
"311";"Commercial";"commercial#1";"hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/userprofile/service/impl/KajabiProfileServiceImpl.java";"dev-5451";3;"miss";"miss";"miss";"1";"1";"0,10363";TRUE;3;5;8;191;153;5;44,4444444444444
"312";"Commercial";"commercial#1";"hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/userprofile/service/impl/KajabiProfileServiceImpl.java";"dev-5454";1;"miss";"miss";"hit";"0,64754";"0,25";"0,01036";FALSE;1;7;8;191;131;4;11,1111111111111
"313";"Commercial";"commercial#1";"hot-affiliation-web/src/test/java/com/hotmart/integration/marketplace/affiliation/bonus/AffiliationBonusControllerIntegrationTest.java";"dev-5451";5;"hit";"hit";"hit";"0,87777";"0,75";"1";FALSE;3;4;7;167;14;0;37,5
"314";"Commercial";"commercial#1";"hot-affiliation-web/src/test/java/com/hotmart/integration/marketplace/affiliation/bonus/AffiliationBonusControllerIntegrationTest.java";"dev-5454";2;"miss";"miss";"hit";"0,94105";"1";"0,0241";FALSE;4;3;7;167;110;3;50
"315";"Commercial";"commercial#1";"imports/server/methods/index.js";"dev-936";4;"hit";"hit";"miss";"0,69995";"0,6";"0,06122";FALSE;3;10;13;51;14;0;21,4285714285714
"316";"Commercial";"commercial#1";"imports/server/methods/index.js";"dev-939";2;"miss";"miss";"hit";"0,61136";"0,2";"0";FALSE;1;12;13;51;52;2;7,14285714285714
"317";"Commercial";"commercial#1";"imports/server/methods/index.js";"dev-940";1;"miss";"miss";"hit";"0,61136";"0,2";"0";FALSE;1;12;13;51;48;1;7,14285714285714
"318";"Commercial";"commercial#1";"imports/client/ui-containers/components/data/table-item-actions.html";"dev-948";3;"miss";"miss";"miss";"1";"1";"0,82353";TRUE;1;3;4;34;61;3;40
"319";"Commercial";"commercial#1";"packages/hotmart-datetime/package.js";"dev-933";1;"miss";"miss";"hit";"0,64547";"0,57143";"0";FALSE;8;16;24;21;32;0;27,5862068965517
"320";"Commercial";"commercial#1";"imports/client/core-subscriptions/actions.js";"dev-948";4;"miss";"miss";"hit";"0,55982";"0,14286";"0,61364";FALSE;1;11;12;84;85;4;7,69230769230769
"321";"Commercial";"commercial#1";"imports/client/core-subscriptions/actions.js";"dev-944";3;"hit";"hit";"miss";"0,55982";"0,14286";"0,20455";FALSE;1;11;12;84;32;1;7,69230769230769
"322";"Commercial";"commercial#1";"imports/client/ui-containers/helpers.js";"dev-934";4;"hit";"hit";"miss";"0,68351";"0,25";"0,05556";FALSE;1;6;7;24;40;1;10
"323";"Commercial";"commercial#1";"imports/server/contexts/proxies.js";"dev-934";1;"miss";"miss";"hit";"0,60483";"0,375";"0";FALSE;3;22;25;54;15;3;8,82352941176471
"324";"Commercial";"commercial#1";"imports/server/contexts/proxies.js";"dev-948";1;"hit";"hit";"miss";"0,52761";"0,125";"0,15789";FALSE;1;24;25;54;74;6;2,94117647058824
"325";"Commercial";"commercial#1";"imports/client/core-reports/schemas/reports/locations-countries.js";"dev-936";5;"hit";"hit";"miss";"0,74004";"0,8";"0,07895";FALSE;4;12;16;61;35;1;23,5294117647059
"326";"Commercial";"commercial#1";"imports/client/core-reports/schemas/reports/locations-countries.js";"dev-928";5;"hit";"hit";"hit";"0,74004";"0,8";"0,5";FALSE;4;12;16;61;0;0;23,5294117647059
"327";"Commercial";"commercial#1";"imports/client/core-reports/schemas/reports/locations-countries.js";"dev-927";5;"hit";"hit";"miss";"0,69557";"0,6";"0,07895";FALSE;3;13;16;61;97;7;17,6470588235294
"328";"Commercial";"commercial#1";"imports/client/core-reports/schemas/reports/locations-countries.js";"dev-930";3;"miss";"miss";"hit";"0,60777";"0,2";"0";FALSE;1;15;16;61;71;3;5,88235294117647
"329";"Commercial";"commercial#1";"imports/client/core-messages/components/send.js";"dev-930";5;"hit";"hit";"hit";"0,7471";"0,8";"1";FALSE;4;8;12;41;49;2;30,7692307692308
"330";"Commercial";"commercial#1";"imports/client/core-messages/components/send.js";"dev-928";4;"hit";"hit";"hit";"0,65672";"0,4";"0,125";FALSE;2;10;12;41;0;0;15,3846153846154
"331";"Commercial";"commercial#1";"imports/client/core-messages/components/send.js";"dev-927";4;"hit";"hit";"hit";"0,65672";"0,4";"0,125";FALSE;2;10;12;41;48;1;15,3846153846154
"332";"Commercial";"commercial#1";"imports/client/core-products-tools/sales-pages/templates/generated/content.html";"dev-933";2;"miss";"miss";"miss";"0,72411";"0,25";"0,3";FALSE;1;5;6;14;5;0;6,25
"333";"Commercial";"commercial#1";"imports/client/core-products-tools/enotas/index.js";"dev-930";5;"hit";"hit";"hit";"1";"1";"0,57143";TRUE;2;2;4;8;76;2;60
"334";"Commercial";"commercial#1";"imports/client/core-products-tools/enotas/index.js";"dev-927";5;"hit";"hit";"hit";"0,74853";"0,66667";"1";FALSE;2;2;4;8;25;0;40
"335";"Commercial";"commercial#1";"packages/hotmart-locale/package.js";"dev-945";2;"miss";"miss";"hit";"0,72811";"0,5";"0";FALSE;1;4;5;17;90;3;16,6666666666667
"336";"Commercial";"commercial#1";"imports/client/core-products-tools/alternative-pages-dynamic/actions.js";"dev-928";5;"hit";"hit";"miss";"0,6139";"0,2";"0,04255";FALSE;1;5;6;47;85;1;14,2857142857143
"337";"Commercial";"commercial#1";"imports/client/core-products-tools/alternative-pages-dynamic/actions.js";"dev-948";4;"hit";"hit";"hit";"0,6139";"0,2";"0,12766";FALSE;1;5;6;47;77;0;14,2857142857143
"338";"Commercial";"commercial#1";"imports/server/methods/api-core/accounts-financial.js";"dev-927";5;"hit";"hit";"hit";"0,81688";"1";"1";FALSE;9;9;18;25;62;1;37,5
"339";"Commercial";"commercial#1";"imports/server/methods/api-core/accounts-financial.js";"dev-939";4;"miss";"miss";"hit";"0,51268";"0,11111";"0,11765";FALSE;1;17;18;25;49;0;4,16666666666667
"340";"Commercial";"commercial#1";"imports/server/proxies/api-core/accounts.js";"dev-934";4;"hit";"hit";"hit";"0,82932";"1";"0,4";FALSE;1;0;1;6;21;0;50
"341";"Commercial";"commercial#1";"imports/client/ui-utils/index.js";"dev-930";5;"hit";"hit";"miss";"0,69757";"0,5";"0";FALSE;2;5;7;17;62;1;22,2222222222222
"342";"Commercial";"commercial#1";"imports/client/ui-utils/index.js";"dev-927";5;"hit";"hit";"hit";"0,69757";"0,5";"1";FALSE;2;5;7;17;49;0;22,2222222222222
"343";"Commercial";"commercial#1";"imports/client/ui-containers/components/container-data.html";"dev-948";3;"hit";"hit";"hit";"0,14019";"0,01493";"0";FALSE;1;102;103;194;80;5;0,943396226415094
