"";"systemsGroup";"system";"file";"devId";"dev_answer";"doa";"commit";"blame";"doaValue";"commitValue";"blameValue";"isFA";"DE";"AC";"nCommits";"LOC";"daysLastCommit";"nComAfter";"commitsPerc"
"26";"Commercial";"commercial#1";"hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/PurchaseNotifierServiceImpl.java";"dev-5455";1;"miss";"hit";"hit";"0,62217";"0,14286";"0,00676";FALSE;1;27;28;341;43;1;3,44827586206897
"27";"Commercial";"commercial#1";"hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/PurchaseNotifierServiceImpl.java";"dev-5449";3;"miss";"miss";"miss";"0,85233";"0,85714";"1";FALSE;6;22;28;341;120;8;20,6896551724138
"28";"Commercial";"commercial#1";"hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/PurchaseNotifierServiceImpl.java";"dev-5446";1;"miss";"miss";"miss";"1";"0,57143";"0,10473";TRUE;3;25;28;341;139;13;13,7931034482759
"29";"Commercial";"commercial#1";"hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/PurchaseNotifierServiceImpl.java";"dev-5451";2;"miss";"miss";"miss";"0,89879";"1";"0,16892";FALSE;7;21;28;341;34;0;24,1379310344828
"30";"Commercial";"commercial#1";"hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/PurchaseNotifierServiceImpl.java";"dev-5459";3;"miss";"hit";"hit";"0,62217";"0,14286";"0";FALSE;1;27;28;341;169;21;3,44827586206897
"31";"Commercial";"commercial#1";"hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/PurchaseNotifierServiceImpl.java";"dev-5454";2;"miss";"miss";"hit";"0,75987";"0,57143";"0,04054";FALSE;4;24;28;341;131;11;13,7931034482759
"32";"Commercial";"commercial#1";"hot-affiliation-web/src/main/java/com/hotmart/marketplace/rest/AffiliationController.java";"dev-5449";4;"miss";"hit";"hit";"0,44439";"0,35714";"1";FALSE;15;61;76;275;61;0;19,2307692307692
"33";"Commercial";"commercial#1";"hot-affiliation-web/src/main/java/com/hotmart/marketplace/rest/AffiliationController.java";"dev-5446";5;"hit";"hit";"hit";"1";"1";"0,53922";TRUE;41;35;76;275;82;3;53,8461538461538
"34";"Commercial";"commercial#1";"hot-affiliation-web/src/main/java/com/hotmart/marketplace/rest/AffiliationController.java";"dev-5451";4;"miss";"hit";"hit";"0,39349";"0,28571";"0,73529";FALSE;12;64;76;275;92;6;15,3846153846154
"35";"Commercial";"commercial#1";"hot-affiliation-web/src/main/java/com/hotmart/marketplace/rest/AffiliationController.java";"dev-5459";3;"hit";"hit";"miss";"0,27499";"0,11905";"0,36275";FALSE;5;71;76;275;67;1;6,41025641025641
"36";"Commercial";"commercial#1";"hot-affiliation-web/src/main/java/com/hotmart/marketplace/rest/AffiliationController.java";"dev-5454";2;"hit";"hit";"hit";"0,24119";"0,07143";"0,05882";FALSE;3;73;76;275;95;9;3,84615384615385
"37";"Commercial";"commercial#1";"hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/PurchaseNotifierService.java";"dev-5449";3;"miss";"miss";"miss";"0,87777";"1";"0,55556";FALSE;3;4;7;12;126;0;37,5
"38";"Commercial";"commercial#1";"hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/PurchaseNotifierService.java";"dev-5446";1;"miss";"miss";"miss";"1";"0,33333";"1";TRUE;0;7;7;12;246;7;12,5
"39";"Commercial";"commercial#1";"hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/PurchaseNotifierService.java";"dev-5451";2;"miss";"miss";"miss";"0,87777";"1";"0,66667";FALSE;3;4;7;12;172;2;37,5
"40";"Commercial";"commercial#1";"hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/PurchaseNotifierService.java";"dev-5454";2;"miss";"miss";"miss";"0,76067";"0,33333";"0,11111";FALSE;1;6;7;12;131;1;12,5
"41";"Commercial";"commercial#1";"hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/userprofile/service/FinancialService.java";"dev-5459";4;"miss";"hit";"hit";"0,54863";"0,35714";"0,14286";FALSE;5;24;29;26;36;6;16,6666666666667
"42";"Commercial";"commercial#1";"hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/userprofile/service/FinancialService.java";"dev-5457";1;"hit";"miss";"hit";"0,58018";"0,42857";"0,07143";FALSE;6;23;29;26;36;0;20
"43";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/BadgesController.java";"dev-5449";5;"hit";"hit";"hit";"0,94163";"0,28571";"1";TRUE;1;8;9;27;5;1;20
"44";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/BadgesController.java";"dev-5451";5;"hit";"hit";"hit";"1";"1";"0,84211";FALSE;7;2;9;27;0;0;70
"45";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/BadgesController.java";"dev-5446";3;"miss";"hit";"hit";"0,67306";"0,14286";"0,05263";FALSE;1;8;9;27;183;7;10
"46";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/product/upload/ProductContentBuilder.java";"dev-5449";5;"hit";"hit";"hit";"1";"0,5";"1";TRUE;0;4;4;20;291;4;20
"47";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/product/upload/ProductContentBuilder.java";"dev-5454";4;"hit";"hit";"miss";"0,77742";"0,5";"0";FALSE;1;3;4;20;140;2;20
"48";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/product/upload/ProductContentBuilder.java";"dev-5446";1;"miss";"miss";"miss";"0,84358";"1";"0,125";FALSE;2;2;4;20;139;1;40
"49";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/product/upload/ProductContentBuilder.java";"dev-5451";3;"miss";"miss";"hit";"0,77742";"0,5";"0,04167";FALSE;1;3;4;20;34;0;20
"50";"Commercial";"commercial#1";"hot-affiliation-web/src/main/java/com/hotmart/marketplace/rest/RestMethods.java";"dev-5459";5;"hit";"hit";"hit";"0,63134";"0,33333";"1";FALSE;3;20;23;44;67;0;12,5
"51";"Commercial";"commercial#1";"hot-eticket-ejb/src/main/java/com/hotmart/marketplace/eticket/vo/request/LockETicketRequestVO.java";"dev-5446";1;"miss";"miss";"miss";"1";"0,33333";"0,29167";TRUE;0;4;4;21;218;3;16,6666666666667
"52";"Commercial";"commercial#1";"hot-eticket-ejb/src/main/java/com/hotmart/marketplace/eticket/vo/request/LockETicketRequestVO.java";"dev-5451";3;"miss";"miss";"miss";"0,9195";"1";"1";FALSE;3;1;4;21;81;0;50
"53";"Commercial";"commercial#1";"hot-eticket-ejb/src/main/java/com/hotmart/marketplace/eticket/service/TicketInviteService.java";"dev-5450";5;"hit";"miss";"miss";"0,6136";"0,16667";"0";FALSE;1;10;11;18;15;2;8,33333333333333
"54";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/CallCenterController.java";"dev-5449";5;"hit";"hit";"hit";"1";"1";"0,31579";TRUE;9;7;16;180;127;4;58,8235294117647
"55";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/CallCenterController.java";"dev-5451";4;"hit";"hit";"hit";"0,67454";"0,6";"1";FALSE;6;10;16;180;61;0;35,2941176470588
"56";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/CallCenterController.java";"dev-5446";1;"hit";"hit";"hit";"0,4937";"0,1";"0,00658";FALSE;1;15;16;180;183;6;5,88235294117647
"57";"Commercial";"commercial#1";"hot-eticket-ejb/src/main/java/com/hotmart/marketplace/eticket/service/impl/EticketServiceImpl.java";"dev-5460";2;"hit";"hit";"hit";"0,36858";"0,04348";"0,02013";FALSE;1;45;46;249;18;0;2,12765957446809
"58";"Commercial";"commercial#1";"hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/PurchaseService.java";"dev-5456";4;"miss";"miss";"miss";"0,374";"0,1";"0";FALSE;2;41;43;32;40;1;4,44444444444444
