message;systemsGroup;system;file;answer;doa;commit;blame;newApproach;doaV;CommitV;blameV;nDevs;isFirst;DE;nChanges;devCommits;nCommits;LoComm;LoCode;devChurn;fileChurn;daysLastChange;daysLC;daysSurvey;nComAfter;dateLC;last10-s;last10
Non-Maintainers failure;Commercial;hot-marketplace;hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/download/service/DownloadService.java;1;TRUE;TRUE;FALSE;TRUE;0,86125;1;0,09091;3;FALSE;2;3;2;4;0;8;4;18;139;139;162;0;55:44,0;ynyn;2
Non-Maintainers failure;Commercial;hot-marketplace;hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/download/service/DownloadService.java;1;TRUE;TRUE;FALSE;TRUE;0,78671;0,5;0;3;FALSE;1;3;1;4;0;8;2;18;139;140;163;1;42:23,0;nynn;1
Maintainers failure;Commercial;hot-marketplace;hot-affiliation-web/src/main/java/com/hotmart/marketplace/rest/AffiliationRequestController.java;4;TRUE;FALSE;TRUE;TRUE;0,54495;0,22222;0,03382;2;FALSE;2;10;2;11;6;190;26;310;74;124;147;3;55:22,0;nnnynynnnn;2
OK Maintainer;Commercial;hot-marketplace;hot-affiliation-web/src/main/java/com/hotmart/marketplace/rest/AffiliationRequestController.java;5;FALSE;FALSE;FALSE;FALSE;1;1;1;2;TRUE;8;10;9;11;6;190;284;310;74;74;97;0;33:00,0;yyynynyyyy;8
OK Maintainer;Commercial;hot-marketplace;hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/PurchaseNotifierServiceImpl.java;5;FALSE;FALSE;FALSE;FALSE;0,85233;0,85714;0,10135;7;FALSE;6;28;6;29;2;341;161;1019;34;53;76;2;03:04,0;nnyynyyyny;6
Non-Maintainers failure;Commercial;hot-marketplace;hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/PurchaseNotifierServiceImpl.java;1;TRUE;FALSE;FALSE;FALSE;0,62217;0,14286;0,00676;7;FALSE;1;28;1;29;2;341;4;1019;34;43;66;1;28:50,0;nynnnnnnnn;1
Non-Maintainers failure;Commercial;hot-marketplace;hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/PurchaseNotifierServiceImpl.java;3;TRUE;TRUE;TRUE;TRUE;0,85233;0,85714;1;7;FALSE;6;28;6;29;2;341;541;1019;34;120;143;8;15:30,0;nnnnnnnnyn;1
Non-Maintainers failure;Commercial;hot-marketplace;hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/PurchaseNotifierServiceImpl.java;1;TRUE;TRUE;TRUE;TRUE;1;0,57143;0,10473;7;TRUE;3;28;4;29;2;341;96;1019;34;139;162;13;55:44,0;nnnnnnnnnn;0
Non-Maintainers failure;Commercial;hot-marketplace;hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/PurchaseNotifierServiceImpl.java;2;TRUE;TRUE;TRUE;TRUE;0,89879;1;0,16892;7;FALSE;7;28;7;29;2;341;167;1019;34;34;57;0;11:24,0;ynnnynnnnn;2
Non-Maintainers failure;Commercial;hot-marketplace;hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/PurchaseNotifierServiceImpl.java;3;TRUE;FALSE;FALSE;FALSE;0,62217;0,14286;0;7;FALSE;1;28;1;29;2;341;4;1019;34;169;192;21;37:50,0;nnnnnnnnnn;0
Non-Maintainers failure;Commercial;hot-marketplace;hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/PurchaseNotifierServiceImpl.java;2;TRUE;TRUE;FALSE;TRUE;0,75987;0,57143;0,04054;7;FALSE;4;28;4;29;2;341;46;1019;34;131;154;11;37:45,0;nnnnnnnnnn;0
Maintainers failure;Commercial;hot-marketplace;hot-affiliation-web/src/main/java/com/hotmart/marketplace/rest/AffiliationController.java;4;TRUE;FALSE;FALSE;FALSE;0,44439;0,35714;1;5;FALSE;15;76;15;78;6;275;239;2225;61;61;84;0;13:41,0;ynynnnnnnn;2
OK Maintainer;Commercial;hot-marketplace;hot-affiliation-web/src/main/java/com/hotmart/marketplace/rest/AffiliationController.java;5;FALSE;FALSE;FALSE;FALSE;1;1;0,53922;5;TRUE;41;76;42;78;6;275;1476;2225;61;82;105;3;13:36,0;nnnyyynnnn;3
Maintainers failure;Commercial;hot-marketplace;hot-affiliation-web/src/main/java/com/hotmart/marketplace/rest/AffiliationController.java;4;TRUE;FALSE;FALSE;FALSE;0,39349;0,28571;0,73529;5;FALSE;12;76;12;78;6;275;463;2225;61;92;115;6;04:11,0;nnnnnnyyyn;3
Non-Maintainers failure;Commercial;hot-marketplace;hot-affiliation-web/src/main/java/com/hotmart/marketplace/rest/AffiliationController.java;3;FALSE;FALSE;TRUE;FALSE;0,27499;0,11905;0,36275;5;FALSE;5;76;5;78;6;275;39;2225;61;67;90;1;07:07,0;nynnnnnnnn;1
OK Non-Maintainers;Commercial;hot-marketplace;hot-affiliation-web/src/main/java/com/hotmart/marketplace/rest/AffiliationController.java;2;FALSE;FALSE;FALSE;FALSE;0,24119;0,07143;0,05882;5;FALSE;3;76;3;78;6;275;8;2225;61;95;118;9;30:18,0;nnnnnnnnny;1
Non-Maintainers failure;Commercial;hot-marketplace;hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/PurchaseNotifierService.java;3;TRUE;TRUE;TRUE;TRUE;0,87777;1;0,55556;4;FALSE;3;7;3;8;0;12;10;33;126;126;149;0;21:07,0;ynnnnyyn;3
Non-Maintainers failure;Commercial;hot-marketplace;hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/PurchaseNotifierService.java;1;TRUE;TRUE;TRUE;TRUE;1;0,33333;1;4;TRUE;0;7;1;8;0;12;9;33;126;246;268;7;33:49,0;nnnnnnny;1
Non-Maintainers failure;Commercial;hot-marketplace;hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/PurchaseNotifierService.java;2;TRUE;TRUE;TRUE;TRUE;0,87777;1;0,66667;4;FALSE;3;7;3;8;0;12;10;33;126;172;195;2;34:59,0;nnyyynnn;3
Non-Maintainers failure;Commercial;hot-marketplace;hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/PurchaseNotifierService.java;2;TRUE;TRUE;TRUE;TRUE;0,76067;0,33333;0,11111;4;FALSE;1;7;1;8;0;12;4;33;126;131;154;1;37:45,0;nynnnnnn;1
Maintainers failure;Commercial;hot-marketplace;hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/userprofile/service/FinancialService.java;4;TRUE;FALSE;FALSE;FALSE;0,54863;0,35714;0,14286;6;FALSE;5;29;5;30;0;26;12;218;36;36;59;6;51:16,0;nnnnnnyyyy;4
