message;systemsGroup;system;file;answer;doa;commit;blame;newApproach;doaV;CommitV;blameV;nDevs;isFirst;DE;nChanges;devCommits;nCommits;LoComm;LoCode;devChurn;fileChurn;daysLastChange;daysLC;daysSurvey;nComAfter;dateLC;last10-s;last10
OK Non-Maintainers;Commercial;hot-marketplace;hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/ReceiptController.java;1;FALSE;FALSE;FALSE;FALSE;0,56102;0,09091;0,00893;3;FALSE;1;14;1;15;0;127;2;383;96;183;206;10;25:00,0;nnnnnnnnnn;0
OK Maintainer;Commercial;hot-marketplace;hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/userprofile/service/impl/AddressServiceImpl.java;4;FALSE;FALSE;FALSE;FALSE;0,76314;0,6;0,12281;5;FALSE;3;16;3;17;0;71;13;263;14;16;38;2;38:14,0;nnynyynnnn;3
OK Non-Maintainers;Commercial;hot-marketplace;hot-affiliation-ejb/src/main/java/com/hotmart/marketplace/affiliation/service/impl/AffiliationServiceImpl.java;1;FALSE;FALSE;FALSE;FALSE;0,20057;0,02128;0;7;FALSE;1;115;1;116;5;599;1;4552;0;61;84;8;35:03,0;nnnnnnnnyn;1
OK Non-Maintainers;Commercial;hot-marketplace;hot-affiliation-ejb/src/main/java/com/hotmart/marketplace/affiliation/service/impl/AffiliationServiceImpl.java;1;FALSE;FALSE;FALSE;FALSE;0,21787;0,04255;0,00354;7;FALSE;2;115;2;116;5;599;7;4552;0;106;129;33;46:28,0;nnnnnnnnnn;0
Non-Maintainers failure;Commercial;hot-marketplace;hot-affiliation-ejb/src/main/java/com/hotmart/marketplace/affiliation/service/impl/AffiliationServiceImpl.java;3;FALSE;FALSE;TRUE;FALSE;0,25248;0,08511;1;7;FALSE;4;115;4;116;5;599;1195;4552;0;32;55;5;04:38,0;nnnnnynnnn;1
Maintainers failure;Commercial;hot-marketplace;hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/FinancialController.java;5;TRUE;TRUE;TRUE;TRUE;0,27426;0,08333;0,0393;6;FALSE;3;55;3;56;0;226;53;939;36;181;204;27;35:31,0;nnnnnnnnnn;0
OK Non-Maintainers;Commercial;hot-marketplace;hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/FinancialController.java;1;FALSE;FALSE;FALSE;FALSE;0,27426;0,08333;0,00437;6;FALSE;3;55;3;56;0;226;14;939;36;139;162;17;55:44,0;nnnnnnnnnn;0
OK Non-Maintainers;Commercial;hot-marketplace;hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/FinancialController.java;1;FALSE;FALSE;FALSE;FALSE;0,34868;0,19444;0,01747;6;FALSE;7;55;7;56;0;226;38;939;36;36;59;0;58:36,0;yyyyyynnnn;6
Non-Maintainers failure;Commercial;hot-marketplace;hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/FinancialController.java;3;TRUE;TRUE;TRUE;TRUE;1;1;1;6;TRUE;35;55;36;56;0;226;780;939;36;63;86;7;21:39,0;nnnnnnnyny;2
OK Non-Maintainers;Commercial;hot-marketplace;hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/FinancialController.java;2;FALSE;FALSE;FALSE;FALSE;0,33006;0,16667;0,0786;6;FALSE;6;55;6;56;0;226;48;939;36;36;59;6;51:16,0;nnnnnnynyn;2
OK Non-Maintainers;Commercial;hot-marketplace;hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/FinancialController.java;3;FALSE;FALSE;FALSE;FALSE;0,23713;0,02778;0;6;FALSE;1;55;1;56;0;226;6;939;36;140;163;18;42:23,0;nnnnnnnnnn;0
OK Maintainer;Commercial;hot-marketplace;hot-product-ejb/src/test/java/com/hotmart/marketplace/product/payment/ProductPaymentTest.java;5;FALSE;FALSE;FALSE;FALSE;1;1;1;2;TRUE;2;3;4;5;3;98;268;272;0;12;35;1;14:50,0;nyyyy;4
Non-Maintainers failure;Commercial;hot-marketplace;hot-product-ejb/src/test/java/com/hotmart/marketplace/product/payment/ProductPaymentTest.java;3;TRUE;TRUE;FALSE;TRUE;0,69039;0,25;0,01613;2;FALSE;1;3;1;5;3;98;4;272;0;0;23;0;20:23,0;ynnnn;1
Maintainers failure;Commercial;hot-marketplace;hot-product-web/src/test/java/com/hotmart/marketplace/rest/LotSerialControllerIntegrationTest.java;5;FALSE;FALSE;TRUE;FALSE;1;1;0,04167;2;FALSE;5;5;5;6;20;192;26;278;41;41;63;0;45:49,0;yyyyyn;5
Maintainers failure;Commercial;hot-marketplace;hot-eticket-web/src/main/java/com/hotmart/marketplace/rest/TicketInviteController.java;5;TRUE;TRUE;TRUE;TRUE;0,55566;0,1;0;4;FALSE;1;18;1;19;5;139;59;450;14;15;38;2;55:31,0;nnynnnnnnn;1
OK Non-Maintainers;Commercial;hot-marketplace;hot-eticket-web/src/main/java/com/hotmart/marketplace/rest/TicketInviteController.java;3;FALSE;FALSE;FALSE;FALSE;0,55566;0,1;0,0099;4;FALSE;1;18;1;19;5;139;12;450;14;152;175;10;40:39,0;nnnnnnnnnn;0
Maintainers failure;Commercial;hot-marketplace;hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RestMethods.java;5;TRUE;TRUE;FALSE;TRUE;0,49988;0,125;0,16667;11;FALSE;2;42;2;43;0;68;48;382;12;40;63;5;29:43,0;nnnnnynnnn;1
Maintainers failure;Commercial;hot-marketplace;hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RestMethods.java;5;TRUE;TRUE;FALSE;TRUE;0,49988;0,125;0,13333;11;FALSE;2;42;2;43;0;68;14;382;12;125;148;19;23:41,0;nnnnnnnnnn;0
Maintainers failure;Commercial;hot-marketplace;hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RestMethods.java;5;FALSE;TRUE;FALSE;FALSE;0,69051;0,125;0,2;11;TRUE;1;42;2;43;0;68;20;382;12;243;266;41;26:53,0;nnnnnnnnnn;0
OK Maintainer;Commercial;hot-marketplace;hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RestMethods.java;5;FALSE;FALSE;FALSE;FALSE;1;1;1;11;FALSE;16;42;16;43;0;68;188;382;12;97;120;16;41:28,0;nnnnnnnnnn;0
Maintainers failure;Commercial;hot-marketplace;hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RestMethods.java;5;FALSE;FALSE;TRUE;FALSE;0,74851;0,5625;0,03333;11;FALSE;9;42;9;43;0;68;20;382;12;84;107;11;18:53,0;nnnnnnnnnn;0
Maintainers failure;Commercial;hot-marketplace;hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RestMethods.java;4;TRUE;TRUE;TRUE;TRUE;0,49988;0,125;0,03333;11;FALSE;2;42;2;43;0;68;3;382;12;46;69;8;46:56,0;nnnnnnnnyn;1
Non-Maintainers failure;Commercial;hot-marketplace;hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RestMethods.java;3;FALSE;FALSE;TRUE;FALSE;0,49988;0,125;0,63333;11;FALSE;2;42;2;43;0;68;51;382;12;43;66;7;28:50,0;nnnnnnnyny;2
OK Non-Maintainers;Commercial;hot-marketplace;hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RestMethods.java;2;FALSE;FALSE;FALSE;FALSE;0,46454;0,0625;0,06667;11;FALSE;1;42;1;43;0;68;9;382;12;153;176;23;53:57,0;nnnnnnnnnn;0
Non-Maintainers failure;Commercial;hot-marketplace;hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RestMethods.java;3;FALSE;FALSE;TRUE;FALSE;0,53526;0,1875;0,36667;11;FALSE;3;42;3;43;0;68;17;382;12;35;58;4;51:23,0;nnnnynynnn;2
OK Non-Maintainers;Commercial;hot-marketplace;hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RestMethods.java;2;FALSE;FALSE;FALSE;FALSE;0,49988;0,125;0,06667;11;FALSE;2;42;2;43;0;68;6;382;12;12;35;0;06:54,0;yynnnnnnnn;2
Non-Maintainers failure;Commercial;hot-marketplace;hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RestMethods.java;3;FALSE;FALSE;TRUE;FALSE;0,49988;0,125;0,2;11;FALSE;2;42;2;43;0;68;6;382;12;20;43;2;03:07,0;nnyynnnnnn;2
Maintainers failure;Commercial;hot-marketplace;hot-product-ejb/src/main/java/com/hotmart/marketplace/product/service/impl/ProductServiceImpl.java;4;TRUE;TRUE;TRUE;TRUE;0,05978;0,04098;0,0084;9;FALSE;15;540;15;542;1;1204;188;19618;11;32;55;28;46:50,0;nnnnnnnnnn;0
OK Non-Maintainers;Commercial;hot-marketplace;hot-product-ejb/src/main/java/com/hotmart/marketplace/product/service/impl/ProductServiceImpl.java;3;FALSE;FALSE;FALSE;FALSE;0,02559;0,00546;0,00588;9;FALSE;2;540;2;542;1;1204;21;19618;11;123;146;100;45:09,0;nnnnnnnnnn;0
OK Non-Maintainers;Commercial;hot-marketplace;hot-product-ejb/src/main/java/com/hotmart/marketplace/product/service/impl/ProductServiceImpl.java;3;FALSE;FALSE;FALSE;FALSE;0,02296;0,00273;0,00084;9;FALSE;1;540;1;542;1;1204;2;19618;11;18;41;9;04:46,0;nnnnnnnnny;1
OK Non-Maintainers;Commercial;hot-marketplace;hot-product-ejb/src/main/java/com/hotmart/marketplace/product/service/impl/ProductServiceImpl.java;2;FALSE;FALSE;FALSE;FALSE;0,02296;0,00273;0,00084;9;FALSE;1;540;1;542;1;1204;1;19618;11;49;72;57;43:40,0;nnnnnnnnnn;0
Maintainers failure;Commercial;hot-marketplace;hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/PurchaseController.java;4;TRUE;TRUE;TRUE;TRUE;0,27334;0,05405;0,04167;7;FALSE;2;76;2;77;6;164;50;659;8;40;63;7;29:43,0;nnnnnnnynn;1
Maintainers failure;Commercial;hot-marketplace;hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/PurchaseController.java;5;TRUE;FALSE;FALSE;FALSE;0,41758;0,24324;0,10417;7;FALSE;9;76;9;77;6;164;46;659;8;35;58;4;51:23,0;nnnnyynnyn;3
OK Non-Maintainers;Commercial;hot-marketplace;hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/PurchaseController.java;2;FALSE;FALSE;FALSE;FALSE;0,29393;0,08108;0,02083;7;FALSE;3;76;3;77;6;164;32;659;8;43;66;10;28:50,0;nnnnnnnnnn;0
Non-Maintainers failure;Commercial;hot-marketplace;hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/PurchaseController.java;3;FALSE;TRUE;TRUE;TRUE;0,45887;0,2973;0,5;7;FALSE;11;76;11;77;6;164;136;659;8;21;44;2;30:59,0;nnynnnnnny;2
OK Non-Maintainers;Commercial;hot-marketplace;hot-product-ejb/src/main/java/com/hotmart/marketplace/lotserial/service/LotSerialService.java;3;FALSE;FALSE;FALSE;FALSE;0,46833;0,09091;0,03125;3;FALSE;1;12;1;13;3;18;2;73;5;173;196;3;02:08,0;nnnynnnnnn;1
OK Maintainer;Commercial;hot-marketplace;hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/UserProfileController.java;5;FALSE;FALSE;FALSE;FALSE;0,88332;0,65517;0,16923;4;TRUE;18;55;19;56;0;273;326;1284;64;194;217;20;12:24,0;nnnnnnnnnn;0
OK Maintainer;Commercial;hot-marketplace;hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/UserProfileController.java;4;FALSE;FALSE;FALSE;FALSE;1;1;1;4;FALSE;29;55;29;56;0;273;914;1284;64;64;87;0;53:24,0;yyyyyyynnn;7
Non-Maintainers failure;Commercial;hot-marketplace;hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/UserProfileController.java;3;FALSE;TRUE;FALSE;FALSE;0,45655;0,24138;0,03462;4;FALSE;7;55;7;56;0;273;38;1284;64;139;162;7;55:44,0;nnnnnnnyny;2
OK Non-Maintainers;Commercial;hot-marketplace;hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/UserProfileController.java;3;FALSE;FALSE;FALSE;FALSE;0,31049;0,03448;0;4;FALSE;1;55;1;56;0;273;6;1284;64;140;163;8;42:23,0;nnnnnnnnyn;1
Maintainers failure;Commercial;hot-marketplace;hot-listboss-web/src/main/java/com/hotmart/listboss/rest/ListBossController.java;4;TRUE;TRUE;TRUE;TRUE;0,24762;0,08889;0,07955;5;FALSE;4;62;4;64;0;285;57;1282;63;152;175;17;45:51,0;nnnnnnnnnn;0
OK Maintainer;Commercial;hot-marketplace;hot-listboss-web/src/main/java/com/hotmart/listboss/rest/ListBossController.java;5;FALSE;FALSE;FALSE;FALSE;1;1;0,74432;5;TRUE;44;62;45;64;0;285;682;1282;63;78;101;1;04:34,0;nynyyynyyy;7
OK Non-Maintainers;Commercial;hot-marketplace;hot-listboss-web/src/main/java/com/hotmart/listboss/rest/ListBossController.java;1;FALSE;FALSE;FALSE;FALSE;0,26352;0,11111;0,00568;5;FALSE;5;62;5;64;0;285;26;1282;63;63;86;0;37:32,0;ynnnnnnnnn;1
OK Non-Maintainers;Commercial;hot-marketplace;hot-listboss-web/src/main/java/com/hotmart/listboss/rest/ListBossController.java;1;FALSE;FALSE;FALSE;FALSE;0,24762;0,08889;0;5;FALSE;4;62;4;64;0;285;28;1282;63;139;162;13;55:44,0;nnnnnnnnnn;0
Non-Maintainers failure;Commercial;hot-marketplace;hot-listboss-web/src/main/java/com/hotmart/listboss/rest/ListBossController.java;2;FALSE;FALSE;TRUE;FALSE;0,26352;0,11111;1;5;FALSE;5;62;5;64;0;285;489;1282;63;78;101;2;07:50,0;nnynnnynnn;2
OK Maintainer;Commercial;hot-marketplace;hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/LanguageController.java;5;FALSE;FALSE;FALSE;FALSE;1;0,83333;1;3;TRUE;4;11;5;12;0;24;62;96;0;5;28;1;46:22,0;nynnnnnnyy;3
Non-Maintainers failure;Commercial;hot-marketplace;hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/LanguageController.java;1;TRUE;FALSE;FALSE;FALSE;0,6136;0,16667;0,05;3;FALSE;1;11;1;12;0;24;2;96;0;183;206;6;25:00,0;nnnnnnynnn;1
Non-Maintainers failure;Commercial;hot-marketplace;hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/LanguageController.java;3;TRUE;TRUE;TRUE;TRUE;0,84527;1;0,55;3;FALSE;6;11;6;12;0;24;32;96;0;0;23;0;48:02,0;ynyyyynynn;6
Maintainers failure;Commercial;hot-marketplace;hot-eticket-ejb/src/main/java/com/hotmart/marketplace/eticket/service/impl/TicketInviteServiceImpl.java;5;TRUE;TRUE;TRUE;TRUE;0,49165;0,1;0;5;FALSE;1;21;1;22;0;165;141;786;14;15;38;2;55:31,0;nnynnnnnnn;1
OK Non-Maintainers;Commercial;hot-marketplace;hot-eticket-ejb/src/main/java/com/hotmart/marketplace/eticket/service/impl/TicketInviteServiceImpl.java;2;FALSE;FALSE;FALSE;FALSE;0,49165;0,1;0,02752;5;FALSE;1;21;1;22;0;165;3;786;14;18;41;3;04:46,0;nnnynnnnnn;1
Non-Maintainers failure;Commercial;hot-marketplace;hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/generic/product/GenericProductPurchaseNotifier.java;3;TRUE;TRUE;FALSE;TRUE;0,62662;0,33333;0,07143;5;FALSE;2;13;2;16;0;75;12;289;34;133;156;3;29:38,0;nnnynnnynn;2
Non-Maintainers failure;Commercial;hot-marketplace;hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/generic/product/GenericProductPurchaseNotifier.java;1;TRUE;TRUE;TRUE;TRUE;1;1;0,25714;5;TRUE;5;13;6;16;0;75;131;289;34;139;162;4;55:44,0;nnnnynynnn;2
OK Non-Maintainers;Commercial;hot-marketplace;hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/generic/product/GenericProductPurchaseNotifier.java;1;FALSE;FALSE;FALSE;FALSE;0,58452;0,16667;0;5;FALSE;1;13;1;16;0;75;2;289;34;124;147;2;41:04,0;nnynnnnnnn;1
Non-Maintainers failure;Commercial;hot-marketplace;hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/generic/product/GenericProductPurchaseNotifier.java;2;TRUE;TRUE;TRUE;TRUE;0,7124;0,66667;1;5;FALSE;4;13;4;16;0;75;140;289;34;34;57;0;11:24,0;yynnnnnnyy;4
OK Non-Maintainers;Commercial;hot-marketplace;hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/generic/product/GenericProductPurchaseNotifier.java;3;FALSE;FALSE;FALSE;FALSE;0,58452;0,16667;0;5;FALSE;1;13;1;16;0;75;4;289;34;140;163;5;42:23,0;nnnnnynnnn;1
Maintainers failure;Commercial;hot-marketplace;hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/withdraw/service/impl/WithdrawServiceImpl.java;5;FALSE;FALSE;TRUE;FALSE;0,75249;0,55;0,0988;5;TRUE;21;75;22;76;19;594;724;3675;0;48;71;10;46:01,0;nnnnnnnnnn;0
Maintainers failure;Commercial;hot-marketplace;hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/withdraw/service/impl/WithdrawServiceImpl.java;4;TRUE;TRUE;TRUE;TRUE;0,33475;0,15;0,00599;5;FALSE;6;75;6;76;19;594;35;3675;0;14;37;3;47:35,0;nnnyynnnnn;2
OK Maintainer;Commercial;hot-marketplace;hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/withdraw/service/impl/WithdrawServiceImpl.java;5;FALSE;FALSE;FALSE;FALSE;1;1;1;5;FALSE;40;75;40;76;19;594;2897;3675;0;0;23;0;14:05,0;yyynnyyyyy;8
OK Non-Maintainers;Commercial;hot-marketplace;hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/withdraw/service/impl/WithdrawServiceImpl.java;2;FALSE;FALSE;FALSE;FALSE;0,25732;0,05;0,0015;5;FALSE;2;75;2;76;19;594;4;3675;0;139;162;45;55:44,0;nnnnnnnnnn;0
OK Non-Maintainers;Commercial;hot-marketplace;hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/withdraw/service/impl/WithdrawServiceImpl.java;3;FALSE;FALSE;FALSE;FALSE;0,33475;0,15;0,00449;5;FALSE;6;75;6;76;19;594;15;3675;0;48;71;11;55:02,0;nnnnnnnnnn;0
Non-Maintainers failure;Commercial;hot-marketplace;hot-eticket-ejb/src/main/java/com/hotmart/marketplace/eticket/vo/request/MigrateEticketRequestVO.java;1;TRUE;TRUE;TRUE;TRUE;1;1;0,4;2;TRUE;1;3;2;5;0;14;47;174;78;218;241;2;59:01,0;nnyyy;3
Non-Maintainers failure;Commercial;hot-marketplace;hot-eticket-ejb/src/main/java/com/hotmart/marketplace/eticket/vo/request/MigrateEticketRequestVO.java;3;TRUE;TRUE;TRUE;TRUE;0,80871;1;1;2;FALSE;2;3;2;5;0;14;127;174;78;78;101;0;01:49,0;yynnn;2
OK Maintainer;Commercial;hot-marketplace;hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/userprofile/service/impl/KajabiProfileServiceImpl.java;5;FALSE;FALSE;FALSE;FALSE;0,74512;0,75;1;4;FALSE;3;8;3;9;0;191;266;390;7;106;129;1;36:28,0;nyyynnnnn;3
Non-Maintainers failure;Commercial;hot-marketplace;hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/userprofile/service/impl/KajabiProfileServiceImpl.java;1;TRUE;TRUE;FALSE;TRUE;0,64754;0,25;0,00518;4;FALSE;1;8;1;9;0;191;2;390;7;7;30;0;30:43,0;ynnnnnnnn;1
Non-Maintainers failure;Commercial;hot-marketplace;hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/userprofile/service/impl/KajabiProfileServiceImpl.java;3;TRUE;TRUE;TRUE;TRUE;1;1;0,10363;4;TRUE;3;8;4;9;0;191;106;390;7;153;176;5;09:20,0;nnnnnyyyy;4
Non-Maintainers failure;Commercial;hot-marketplace;hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/userprofile/service/impl/KajabiProfileServiceImpl.java;1;TRUE;TRUE;FALSE;TRUE;0,64754;0,25;0,01036;4;FALSE;1;8;1;9;0;191;16;390;7;131;154;4;56:44,0;nnnnynnnn;1
OK Maintainer;Commercial;hot-marketplace;hot-affiliation-web/src/test/java/com/hotmart/integration/marketplace/affiliation/bonus/AffiliationBonusControllerIntegrationTest.java;5;FALSE;FALSE;FALSE;FALSE;0,87777;0,75;1;3;FALSE;3;7;3;8;3;167;504;573;14;14;37;0;47:35,0;yyynnnnn;3
Non-Maintainers failure;Commercial;hot-marketplace;hot-affiliation-web/src/test/java/com/hotmart/integration/marketplace/affiliation/bonus/AffiliationBonusControllerIntegrationTest.java;2;TRUE;TRUE;FALSE;TRUE;0,94105;1;0,0241;3;FALSE;4;7;4;8;3;167;30;573;14;110;133;3;06:24,0;nnnyyyyn;4
Maintainers failure;Commercial;hot-vulcano;imports/server/methods/index.js;4;FALSE;FALSE;TRUE;FALSE;0,69995;0,6;0,06122;6;FALSE;3;13;3;14;0;51;3;64;14;14;38;0;51:40,0;ynnyynnnnn;3
Non-Maintainers failure;Commercial;hot-vulcano;imports/server/methods/index.js;2;TRUE;TRUE;FALSE;TRUE;0,61136;0,2;0;6;FALSE;1;13;1;14;0;51;2;64;14;52;75;2;28:42,0;nnynnnnnnn;1
Non-Maintainers failure;Commercial;hot-vulcano;imports/server/methods/index.js;1;TRUE;TRUE;FALSE;TRUE;0,61136;0,2;0;6;FALSE;1;13;1;14;0;51;2;64;14;48;72;1;01:26,0;nynnnnnnnn;1
Non-Maintainers failure;Commercial;hot-vulcano;imports/client/ui-containers/components/data/table-item-actions.html;3;TRUE;TRUE;TRUE;TRUE;1;1;0,82353;3;TRUE;1;4;2;5;0;34;44;83;42;61;84;3;35:57,0;nnnyy;2
Non-Maintainers failure;Commercial;hot-vulcano;packages/hotmart-datetime/package.js;1;TRUE;TRUE;FALSE;TRUE;0,64547;0,57143;0;3;FALSE;8;24;8;29;0;21;16;122;32;32;56;0;09:29,0;yyyyyyyynn;8
Maintainers failure;Commercial;hot-vulcano;imports/client/core-subscriptions/actions.js;4;TRUE;TRUE;FALSE;TRUE;0,55982;0,14286;0,61364;6;FALSE;1;12;1;13;0;84;63;219;0;85;108;4;04:35,0;nnnnynnnnn;1
Non-Maintainers failure;Commercial;hot-vulcano;imports/client/core-subscriptions/actions.js;3;FALSE;FALSE;TRUE;FALSE;0,55982;0,14286;0,20455;6;FALSE;1;12;1;13;0;84;13;219;0;32;55;1;59:31,0;nynnnnnnnn;1
Maintainers failure;Commercial;hot-vulcano;imports/client/ui-containers/helpers.js;4;FALSE;FALSE;TRUE;FALSE;0,68351;0,25;0,05556;6;FALSE;1;7;1;10;0;24;2;55;4;40;63;1;09:49,0;nynnnnnnnn;1
Non-Maintainers failure;Commercial;hot-vulcano;imports/server/contexts/proxies.js;1;TRUE;TRUE;FALSE;TRUE;0,60483;0,375;0;8;FALSE;3;25;3;34;2;54;10;209;0;15;38;3;41:35,0;nnnyyynnnn;3
Non-Maintainers failure;Commercial;hot-vulcano;imports/server/contexts/proxies.js;1;FALSE;FALSE;TRUE;FALSE;0,52761;0,125;0,15789;8;FALSE;1;25;1;34;2;54;11;209;0;74;97;6;17:02,0;nnnnnnynnn;1
Maintainers failure;Commercial;hot-vulcano;imports/client/core-reports/schemas/reports/locations-countries.js;5;FALSE;FALSE;TRUE;FALSE;0,74004;0,8;0,07895;5;FALSE;4;16;4;17;0;61;33;173;0;35;58;1;14:34,0;nyynnnnnnn;2
OK Maintainer;Commercial;hot-vulcano;imports/client/core-reports/schemas/reports/locations-countries.js;5;FALSE;FALSE;FALSE;FALSE;0,74004;0,8;0,5;5;FALSE;4;16;4;17;0;61;42;173;0;0;23;0;10:52,0;ynnnynnnnn;2
Maintainers failure;Commercial;hot-vulcano;imports/client/core-reports/schemas/reports/locations-countries.js;5;FALSE;FALSE;TRUE;FALSE;0,69557;0,6;0,07895;5;FALSE;3;16;3;17;0;61;10;173;0;97;120;7;46:27,0;nnnnnnnyyy;3
Non-Maintainers failure;Commercial;hot-vulcano;imports/client/core-reports/schemas/reports/locations-countries.js;3;TRUE;TRUE;FALSE;TRUE;0,60777;0,2;0;5;FALSE;1;16;1;17;0;61;10;173;0;71;94;3;27:39,0;nnnynnnnnn;1
OK Maintainer;Commercial;hot-vulcano;imports/client/core-messages/components/send.js;5;FALSE;FALSE;FALSE;FALSE;0,7471;0,8;1;4;FALSE;4;12;4;13;1;41;45;103;0;49;72;2;45:35,0;nnyyyynnnn;4
OK Maintainer;Commercial;hot-vulcano;imports/client/core-messages/components/send.js;4;FALSE;FALSE;FALSE;FALSE;0,65672;0,4;0,125;4;FALSE;2;12;2;13;1;41;9;103;0;0;23;0;10:52,0;ynnnnnnnyn;2
OK Maintainer;Commercial;hot-vulcano;imports/client/core-messages/components/send.js;4;FALSE;FALSE;FALSE;FALSE;0,65672;0,4;0,125;4;FALSE;2;12;2;13;1;41;5;103;0;48;72;1;56:13,0;nynnnnnynn;2
Non-Maintainers failure;Commercial;hot-vulcano;imports/client/core-products-tools/sales-pages/templates/generated/content.html;2;TRUE;TRUE;TRUE;TRUE;0,72411;0,25;0,3;5;FALSE;1;6;1;16;0;14;5;38;5;5;29;0;48:09,0;ynnnnnnnnn;1
OK Maintainer;Commercial;hot-vulcano;imports/client/core-products-tools/enotas/index.js;5;FALSE;FALSE;FALSE;FALSE;1;1;0,57143;2;TRUE;2;4;3;5;0;8;20;41;25;76;99;2;48:23,0;nnyyy;3
OK Maintainer;Commercial;hot-vulcano;imports/client/core-products-tools/enotas/index.js;5;FALSE;FALSE;FALSE;FALSE;0,74853;0,66667;1;2;FALSE;2;4;2;5;0;8;21;41;25;25;48;0;51:21,0;yynnn;2
Non-Maintainers failure;Commercial;hot-vulcano;packages/hotmart-locale/package.js;2;TRUE;TRUE;FALSE;TRUE;0,72811;0,5;0;5;FALSE;1;5;1;6;0;17;7;38;0;90;113;3;18:56,0;nnnynn;1
Maintainers failure;Commercial;hot-vulcano;imports/client/core-products-tools/alternative-pages-dynamic/actions.js;5;FALSE;FALSE;TRUE;FALSE;0,6139;0,2;0,04255;3;FALSE;1;6;1;7;0;47;4;123;77;85;108;1;44:05,0;nynnnnn;1
OK Maintainer;Commercial;hot-vulcano;imports/client/core-products-tools/alternative-pages-dynamic/actions.js;4;FALSE;FALSE;FALSE;FALSE;0,6139;0,2;0,12766;3;FALSE;1;6;1;7;0;47;6;123;77;77;101;0;12:38,0;ynnnnnn;1
OK Maintainer;Commercial;hot-vulcano;imports/server/methods/api-core/accounts-financial.js;5;FALSE;FALSE;FALSE;FALSE;0,81688;1;1;3;FALSE;9;18;9;24;0;25;139;322;49;62;85;1;01:42,0;nyyynnnnnn;3
Maintainers failure;Commercial;hot-vulcano;imports/server/methods/api-core/accounts-financial.js;4;TRUE;TRUE;FALSE;TRUE;0,51268;0,11111;0,11765;3;FALSE;1;18;1;24;0;25;3;322;49;49;72;0;45:26,0;ynnnnnnnnn;1
OK Maintainer;Commercial;hot-vulcano;imports/server/proxies/api-core/accounts.js;4;FALSE;FALSE;FALSE;FALSE;0,82932;1;0,4;2;FALSE;1;1;1;2;0;6;3;9;21;21;44;0;08:14,0;yn;1
Maintainers failure;Commercial;hot-vulcano;imports/client/ui-utils/index.js;5;FALSE;FALSE;TRUE;FALSE;0,69757;0,5;0;3;FALSE;2;7;2;9;0;17;2;53;49;62;85;1;24:03,0;nynynnnnn;2
