system;commit_sha;date;developer;file;action
moment;ab11be7aae58fdde9cf3bd711c995cfc799a124d;2014-11-17 02:50:07.0;dev-764;locale/bs.js;MODIFIED
moment;ab11be7aae58fdde9cf3bd711c995cfc799a124d;2014-11-17 02:50:07.0;dev-764;test/locale/bs.js;MODIFIED
moment;96a1ede9913ef3aac7b39909b63df917d41cff6a;2015-12-01 14:04:04.0;dev-656;src/locale/uk.js;MODIFIED
moment;b74a212203c2ba94b26163ff4942a9885e322fd7;2012-06-20 17:58:02.0;dev-594;lang/nl.js;MODIFIED
moment;b74a212203c2ba94b26163ff4942a9885e322fd7;2012-06-20 17:58:02.0;dev-594;test/lang/nl.js;MODIFIED
moment;fa2bf292f845b7011715df0687fcc044d8ba5c0c;2015-11-09 02:29:28.0;dev-539;src/lib/moment/calendar.js;MODIFIED
moment;6138ba45b3f28a41b26462670293b4099353c03d;2013-12-05 18:33:59.0;dev-768;package.json;MODIFIED
moment;782cebdd3ea261bf311c77c7fa530d512d6b2cec;2011-11-10 18:49:47.0;dev-641;sitesrc/js/unit-tests.js;MODIFIED
moment;782cebdd3ea261bf311c77c7fa530d512d6b2cec;2011-11-10 18:49:47.0;dev-641;site/js/test.min.js;MODIFIED
moment;9cd29836ddefa3679df7494147a2915a815104b6;2011-12-02 06:06:51.0;dev-645;lang/test/en.js;MODIFIED
moment;d245f605227def67d10ba51749fdc4247161ef9b;2013-04-27 00:44:44.0;dev-817;moment.js;MODIFIED
moment;d245f605227def67d10ba51749fdc4247161ef9b;2013-04-27 00:44:44.0;dev-817;lang/zh-cn.js;MODIFIED
moment;d245f605227def67d10ba51749fdc4247161ef9b;2013-04-27 00:44:44.0;dev-817;lang/zh-tw.js;MODIFIED
moment;d245f605227def67d10ba51749fdc4247161ef9b;2013-04-27 00:44:44.0;dev-817;test/lang/zh-tw.js;MODIFIED
moment;d245f605227def67d10ba51749fdc4247161ef9b;2013-04-27 00:44:44.0;dev-817;test/lang/zh-cn.js;MODIFIED
moment;ac041d308ae3b1fc8d5eaff1664d102110ab5181;2013-11-21 21:36:16.0;dev-539;test/moment/create.js;MODIFIED
moment;ac041d308ae3b1fc8d5eaff1664d102110ab5181;2013-11-21 21:36:16.0;dev-539;moment.js;MODIFIED
moment;0bb0ee5197b2d43f8875b26e13ec6c39dfad9f86;2012-08-31 14:05:08.0;dev-552;lang/tr.js;MODIFIED
moment;0bb0ee5197b2d43f8875b26e13ec6c39dfad9f86;2012-08-31 14:05:08.0;dev-552;lang/et.js;MODIFIED
moment;0bb0ee5197b2d43f8875b26e13ec6c39dfad9f86;2012-08-31 14:05:08.0;dev-552;lang/fi.js;MODIFIED
moment;0bb0ee5197b2d43f8875b26e13ec6c39dfad9f86;2012-08-31 14:05:08.0;dev-552;lang/hu.js;MODIFIED
moment;0bb0ee5197b2d43f8875b26e13ec6c39dfad9f86;2012-08-31 14:05:08.0;dev-552;lang/is.js;MODIFIED
moment;0bb0ee5197b2d43f8875b26e13ec6c39dfad9f86;2012-08-31 14:05:08.0;dev-552;lang/nl.js;MODIFIED
moment;9b68dacfbb61633de96fe34054cd3c4d4974c413;2014-12-24 18:38:09.0;dev-539;moment.js;MODIFIED
moment;9b68dacfbb61633de96fe34054cd3c4d4974c413;2014-12-24 18:38:09.0;dev-539;test/moment/is_date.js;ADDED
