system;commit_sha;date;developer;file;action
monolog;992a1a20a0627f4c680eb851130774f73c839400;2016-05-27 10:35:15.0;dev-1037;tests/Monolog/Handler/RedisHandlerTest.php;MODIFIED
monolog;a74940869b70d162d42e360eff4b8fafecad7a6f;2016-03-25 06:50:16.0;dev-974;LICENSE;MODIFIED
monolog;b3f039339d7a8173c7b441dbaa572ccacb712b54;2014-09-10 12:41:01.0;dev-1037;tests/Monolog/Processor/PsrLogMessageProcessorTest.php;ADDED
monolog;b3f039339d7a8173c7b441dbaa572ccacb712b54;2014-09-10 12:41:01.0;dev-1037;src/Monolog/Processor/PsrLogMessageProcessor.php;MODIFIED
monolog;7c002e9d555b9706e1d8a84aa017766db56e0c82;2014-04-17 08:19:47.0;dev-1037;src/Monolog/Handler/RotatingFileHandler.php;MODIFIED
monolog;8c094aa3b349715ad0133c40b55460b6d9f55d27;2011-08-29 10:00:42.0;dev-1055;tests/Monolog/Handler/AbstractProcessingHandlerTest.php;MODIFIED
monolog;8c094aa3b349715ad0133c40b55460b6d9f55d27;2011-08-29 10:00:42.0;dev-1055;tests/Monolog/Handler/AbstractHandlerTest.php;MODIFIED
monolog;4a6f9cabb0e638ac6b12434cdf44523bc885fa08;2014-04-03 17:26:45.0;dev-1071;src/Monolog/Formatter/WildfireFormatter.php;MODIFIED
monolog;4a6f9cabb0e638ac6b12434cdf44523bc885fa08;2014-04-03 17:26:45.0;dev-1071;tests/Monolog/Formatter/WildfireFormatterTest.php;MODIFIED
monolog;e53d6040c03fc15606e510c803c553449ee7ecde;2013-10-31 05:41:00.0;dev-1170;tests/Monolog/Handler/SyslogUdpHandlerTest.php;ADDED
monolog;e53d6040c03fc15606e510c803c553449ee7ecde;2013-10-31 05:41:00.0;dev-1170;tests/Monolog/Handler/UdpSocketTest.php;ADDED
monolog;e53d6040c03fc15606e510c803c553449ee7ecde;2013-10-31 05:41:00.0;dev-1170;src/Monolog/Handler/SyslogUdpHandler.php;ADDED
monolog;e53d6040c03fc15606e510c803c553449ee7ecde;2013-10-31 05:41:00.0;dev-1170;src/Monolog/Handler/SyslogUdp/UdpSocket.php;ADDED
monolog;34c39ee771c13572fe732faf83c8b011b890569e;2014-03-31 15:23:37.0;dev-1113;src/Monolog/Processor/TagProcessor.php;MODIFIED
monolog;252058251d49e15d981a3d52b94fb3f176cb649c;2011-04-25 10:52:10.0;dev-1037;tests/Monolog/Formatter/WildfireFormatterTest.php;MODIFIED
monolog;252058251d49e15d981a3d52b94fb3f176cb649c;2011-04-25 10:52:10.0;dev-1037;src/Monolog/Formatter/WildfireFormatter.php;MODIFIED
monolog;7eebdae56bd6e5b25f2c93f7c8329e50cf4e328e;2014-09-29 18:12:28.0;dev-1037;README.mdown;MODIFIED
monolog;7eebdae56bd6e5b25f2c93f7c8329e50cf4e328e;2014-09-29 18:12:28.0;dev-1037;src/Monolog/Handler/MandrillHandler.php;MODIFIED
monolog;ec974cf3a167bbd663d9ed17b9c2c4ce33bce18a;2013-11-19 20:39:11.0;dev-951;src/Monolog/Formatter/HtmlEmailFormatter.php;MODIFIED
monolog;3238a7417b26d32567562ea7da997c2b3f0cd12f;2012-04-26 18:30:37.0;dev-954;src/Monolog/Formatter/RavenFormatter.php;MODIFIED
monolog;3238a7417b26d32567562ea7da997c2b3f0cd12f;2012-04-26 18:30:37.0;dev-954;src/Monolog/Handler/RavenHandler.php;MODIFIED
monolog;3d779cc34d7cec9190eb5d30f794d97e01e3abe2;2015-10-24 09:11:41.0;dev-1037;src/Monolog/Formatter/HtmlFormatter.php;MODIFIED
monolog;bc2d882967453536dd128f005f4a123cb6b10586;2014-09-30 18:42:07.0;dev-957;tests/Monolog/Handler/NewRelicHandlerTest.php;MODIFIED
monolog;bc2d882967453536dd128f005f4a123cb6b10586;2014-09-30 18:42:07.0;dev-957;src/Monolog/Handler/NewRelicHandler.php;MODIFIED
monolog;953f21a7d83d19ecb8793e7a59e2395c32a8d480;2013-02-21 07:03:40.0;dev-1037;src/Monolog/Handler/RotatingFileHandler.php;MODIFIED
monolog;66c1cc05a8e00fb5d4dbf540dba12b5727564d33;2011-06-29 16:32:02.0;dev-1037;tests/Monolog/Handler/AbstractProcessingHandlerTest.php;MODIFIED
monolog;66c1cc05a8e00fb5d4dbf540dba12b5727564d33;2011-06-29 16:32:02.0;dev-1037;src/Monolog/Handler/AbstractHandler.php;MODIFIED
monolog;66c1cc05a8e00fb5d4dbf540dba12b5727564d33;2011-06-29 16:32:02.0;dev-1037;tests/Monolog/LoggerTest.php;MODIFIED
monolog;66c1cc05a8e00fb5d4dbf540dba12b5727564d33;2011-06-29 16:32:02.0;dev-1037;tests/Monolog/Handler/AbstractHandlerTest.php;MODIFIED
monolog;66c1cc05a8e00fb5d4dbf540dba12b5727564d33;2011-06-29 16:32:02.0;dev-1037;src/Monolog/Handler/AbstractProcessingHandler.php;MODIFIED
monolog;bd584e89bc8986ad58835d665f3e8a0634facce1;2016-05-27 10:09:32.0;dev-1037;src/Monolog/Formatter/MongoDBFormatter.php;MODIFIED
monolog;5feb21ae1a842ad6d1d4a7c70848a569450ae769;2013-03-17 15:36:02.0;dev-1037;tests/Monolog/Handler/BufferHandlerTest.php;MODIFIED
monolog;5feb21ae1a842ad6d1d4a7c70848a569450ae769;2013-03-17 15:36:02.0;dev-1037;tests/Monolog/Handler/FingersCrossedHandlerTest.php;MODIFIED
monolog;5feb21ae1a842ad6d1d4a7c70848a569450ae769;2013-03-17 15:36:02.0;dev-1037;src/Monolog/Handler/GroupHandler.php;MODIFIED
monolog;5feb21ae1a842ad6d1d4a7c70848a569450ae769;2013-03-17 15:36:02.0;dev-1037;src/Monolog/Handler/BufferHandler.php;MODIFIED
monolog;5feb21ae1a842ad6d1d4a7c70848a569450ae769;2013-03-17 15:36:02.0;dev-1037;tests/Monolog/Handler/GroupHandlerTest.php;MODIFIED
monolog;5feb21ae1a842ad6d1d4a7c70848a569450ae769;2013-03-17 15:36:02.0;dev-1037;src/Monolog/Handler/FingersCrossedHandler.php;MODIFIED
monolog;798a039040a32c931fb8e7934d90a2637a6353ab;2012-12-10 09:35:34.0;dev-1200;tests/Monolog/Formatter/LogstashFormatterTest.php;MODIFIED
monolog;798a039040a32c931fb8e7934d90a2637a6353ab;2012-12-10 09:35:34.0;dev-1200;src/Monolog/Formatter/LogstashFormatter.php;MODIFIED
